hosts,vms,cloudlets,ga_time,csa_time,ga_fitness,csa_fitness,ga_cpu_util,csa_cpu_util,ga_ram_util,csa_ram_util,ga_bw_util,csa_bw_util,ga_power,csa_power,ga_cpu_mean,csa_cpu_mean,ga_cpu_std,csa_cpu_std
65,100,10,70.88,54.34,15.41,62.89,4695.88,5405.31,92.988161,92.976902,92.990259,92.981518,10.923594,10.904245,1.81,1.45,2.07,1.59
65,100,10,42.83,33.19,7.90,77.23,7015.79,8987.64,92.084928,93.035172,92.088996,93.035579,11.334099,11.299370,2.12,2.45,2.19,2.28
65,100,10,49.10,43.31,31.17,65.78,5347.89,4886.43,91.244213,91.310564,91.244578,91.317079,12.299562,12.314944,1.13,1.44,1.54,1.83
65,100,10,51.87,49.07,17.19,63.55,6649.33,5930.49,92.097286,92.100619,92.103067,92.106705,10.968202,10.964914,2.47,2.02,2.86,2.43
65,100,10,45.75,47.77,8.33,55.78,5335.03,5114.90,93.012185,92.094581,93.017096,92.105010,11.981493,11.991162,1.29,2.02,1.53,2.35
65,100,10,57.40,65.54,19.04,61.62,7071.76,7111.71,91.234060,92.100147,91.238438,92.108834,11.628562,11.646578,1.84,2.14,2.48,2.40
65,100,10,58.72,41.94,35.69,26.69,7727.70,9049.37,92.960471,92.143541,92.964369,92.146919,13.088653,13.050429,2.68,2.39,2.63,2.57
65,100,10,50.84,50.84,23.54,56.62,6373.25,7509.13,91.213186,91.213139,91.218102,91.220642,11.645487,11.644763,2.14,2.00,2.49,2.70
65,100,10,55.02,34.76,10.99,48.14,6238.71,8027.00,92.072188,92.120244,92.074451,92.124702,12.691627,12.741606,1.72,2.77,1.94,2.82
65,100,10,50.96,63.65,14.26,78.43,7054.48,7247.39,93.893594,92.988132,93.896095,92.989032,11.657466,11.673599,2.16,2.47,2.09,2.34
65,100,20,58.61,62.01,7.49,30.50,10676.30,12314.15,84.036470,84.018250,84.045176,84.028582,12.723463,12.734882,2.44,2.97,3.85,4.69
65,100,20,56.77,53.68,13.96,24.20,15353.59,15941.01,84.916783,83.146490,84.928806,83.155634,12.784007,12.804323,3.78,4.42,4.66,5.39
65,100,20,41.80,31.84,10.64,36.92,16345.55,18020.83,85.808503,84.049761,85.816121,84.054838,12.493909,12.478210,4.32,4.38,5.12,5.83
65,100,20,57.50,43.91,10.37,39.79,14098.85,14861.21,87.714872,83.177915,87.724135,83.189145,11.374473,11.425938,4.59,4.92,4.70,6.11
65,100,20,54.66,62.41,7.56,39.28,11675.08,12003.48,84.048387,83.116244,84.056848,83.121928,12.755159,12.760416,2.94,2.89,4.21,4.25
65,100,20,76.66,61.08,12.31,23.64,14140.49,12686.21,83.973518,84.023539,83.983069,84.027954,11.027961,11.048067,3.69,3.48,4.69,4.73
65,100,20,48.95,48.89,8.40,30.67,12764.90,12386.61,87.657286,84.034624,87.665515,84.039988,13.865742,13.844582,2.81,3.01,3.58,4.44
65,100,20,75.42,64.93,13.16,37.45,15173.49,17086.01,84.037923,83.121888,84.042641,83.132342,12.049735,12.099735,3.39,3.74,4.48,5.54
65,100,20,68.71,78.92,11.31,28.20,10841.18,11260.23,84.950727,84.947047,84.959800,84.955420,12.752789,12.752403,3.44,3.31,4.83,4.31
65,100,20,55.89,81.90,7.60,28.94,16133.53,17663.72,85.807840,84.919515,85.815589,84.934101,12.845333,12.840094,4.31,4.88,4.86,5.57
65,100,35,44.87,45.60,7.73,11.52,27098.98,25447.99,75.090647,73.330037,75.108954,73.349416,13.593527,13.597646,4.39,5.26,6.67,7.98
65,100,35,86.40,88.62,5.81,13.48,23782.48,22978.12,75.202613,71.452718,75.222519,71.456379,12.557983,12.480266,5.64,4.62,7.20,7.08
65,100,35,85.70,54.19,6.91,7.07,25946.12,24951.65,75.078264,73.220814,75.097208,73.236819,11.876713,11.863199,7.49,6.98,9.48,9.18
65,100,35,56.16,58.28,5.00,12.20,23304.39,24301.83,75.086515,74.133888,75.101337,74.144004,11.513776,11.493082,7.06,6.24,7.65,8.46
65,100,35,52.06,48.33,6.83,8.50,22269.37,22241.84,74.211333,73.268614,74.233913,73.282264,11.779402,11.837465,5.53,5.96,7.77,8.58
65,100,35,62.68,57.24,5.90,9.35,25828.47,28797.04,76.941672,72.312832,76.956421,72.329820,12.929969,12.967319,6.35,6.49,7.70,9.06
65,100,35,60.00,67.26,9.02,12.52,23837.79,22951.73,77.883127,73.245150,77.896757,73.258210,12.222674,12.209328,5.24,5.79,7.18,8.45
65,100,35,70.01,65.17,7.73,10.31,25958.30,23703.03,75.084862,73.342849,75.098007,73.356102,13.596413,13.569006,6.45,5.02,8.28,7.18
65,100,35,56.50,62.08,6.46,11.80,22320.22,24254.52,78.787800,73.234556,78.800755,73.249514,11.126496,11.096156,6.43,5.01,7.66,7.81
65,100,35,77.98,88.95,5.74,8.87,21282.89,22762.14,74.241385,73.260752,74.250696,73.275109,12.567248,12.530047,7.15,5.70,9.01,8.08
65,100,50,65.25,64.58,3.85,5.54,32030.97,33108.03,68.162654,67.146386,68.184927,67.163837,12.650985,12.562780,7.35,6.83,10.55,10.31
65,100,50,80.93,99.94,5.94,5.27,33341.53,30763.59,68.062146,70.061856,68.077406,70.077075,11.615382,11.612724,8.39,8.36,10.85,10.41
65,100,50,69.46,84.04,4.79,6.28,31309.16,28476.85,64.395286,61.680270,64.410091,61.687111,10.513504,10.481514,9.04,8.02,11.99,12.67
65,100,50,63.38,58.55,5.59,6.64,32230.28,29650.92,67.125356,67.123008,67.146725,67.142239,12.940973,12.958590,6.27,6.47,8.71,8.73
65,100,50,77.07,68.86,5.11,5.62,32979.44,31058.32,68.005763,63.479697,68.018994,63.492867,11.879492,11.883715,7.32,7.49,10.60,11.32
65,100,50,61.77,77.72,5.22,6.42,35463.87,32798.24,67.151795,63.426325,67.175871,63.443085,12.677866,12.609365,8.32,6.88,10.67,9.74
65,100,50,82.83,94.49,4.79,5.25,31503.63,30803.76,65.242135,64.414432,65.271405,64.441794,11.638715,11.553588,9.38,7.90,11.55,10.85
65,100,50,73.44,57.46,4.24,5.86,35725.92,35394.62,69.063897,65.346976,69.083316,65.364642,12.724814,12.621133,8.25,7.36,10.41,10.36
65,100,50,97.65,91.25,5.42,6.82,32860.80,30473.67,66.189039,64.274131,66.205412,64.298357,11.212928,11.145631,7.57,6.93,10.80,10.44
65,100,50,73.25,62.48,4.91,5.22,37230.31,34866.50,65.296953,64.406734,65.307757,64.426141,11.962305,12.047759,8.68,9.66,11.19,12.59
65,100,65,69.67,72.73,4.41,4.61,43953.52,47244.17,60.207445,57.641685,60.237153,57.663244,11.497165,11.310949,12.14,10.47,16.11,15.09
65,100,65,75.12,64.25,5.06,4.03,44828.75,43626.52,62.078620,57.370885,62.101870,57.391694,12.768280,12.775322,10.27,10.14,13.63,13.55
65,100,65,68.45,51.61,3.83,4.70,48764.75,51285.58,63.040820,55.559627,63.067684,55.584929,12.733079,12.755562,9.51,9.65,12.71,13.83
65,100,65,63.51,68.81,5.48,3.84,50979.35,49394.00,58.250477,64.011852,58.277297,64.035706,13.451718,13.456872,9.17,9.42,12.96,12.29
65,100,65,78.01,70.84,3.50,4.23,41652.89,45292.43,58.302670,62.031567,58.316340,62.055196,12.344514,12.311124,9.04,8.62,12.14,11.52
65,100,65,76.75,75.66,3.88,5.03,43336.13,41144.28,61.080161,58.213211,61.099368,58.238044,12.751166,12.717852,9.53,9.26,13.25,13.18
65,100,65,59.48,70.24,3.85,3.82,38163.10,40138.78,54.568913,55.610042,54.585349,55.624756,12.305815,12.330204,8.54,8.66,13.83,13.38
65,100,65,67.98,62.32,3.82,4.00,42637.85,43244.38,58.219695,57.435886,58.241421,57.461713,11.634473,11.621336,9.57,8.87,12.90,13.46
65,100,65,57.76,61.13,4.77,4.42,46824.84,49787.81,55.490217,59.398491,55.516744,59.413528,13.436721,13.476984,8.78,9.67,13.37,12.97
65,100,65,67.85,62.83,4.68,4.36,45883.91,47648.78,59.196937,54.581162,59.211245,54.595528,12.778715,12.727808,10.44,8.58,14.26,12.61
65,100,80,62.27,79.41,3.10,3.59,57182.98,57559.48,53.281165,52.367504,53.308471,52.390723,13.561695,13.486152,12.76,9.88,15.89,14.87
65,100,80,75.30,84.29,3.08,3.70,49133.62,46306.40,48.631826,50.508078,48.661520,50.544455,10.606122,10.585496,11.00,11.19,15.78,16.25
65,100,80,91.73,82.13,3.48,3.30,55116.44,48278.86,52.306257,57.007578,52.320814,57.020966,13.130332,13.100347,11.22,10.41,16.67,15.18
65,100,80,92.25,78.00,3.06,3.58,47175.63,53323.36,59.897211,51.253484,59.929567,51.279409,12.465263,12.541686,11.07,11.52,14.86,15.82
65,100,80,78.80,68.21,3.21,3.46,53622.63,58227.38,52.233270,56.196606,52.264190,56.230385,12.932571,12.895207,13.55,11.61,16.87,15.41
65,100,80,96.10,86.03,3.94,3.99,59244.26,56826.19,55.073604,55.980211,55.090198,56.010537,13.568236,13.514975,11.74,10.22,15.36,14.86
65,100,80,66.64,80.54,3.05,4.04,47011.81,53038.29,56.887981,54.187447,56.909448,54.214554,11.277443,11.309317,9.19,9.84,13.23,14.89
65,100,80,70.51,75.06,2.94,3.65,51178.88,52716.75,52.441766,52.406092,52.461408,52.427587,12.877957,12.765222,11.65,11.24,16.37,15.78
65,100,80,75.47,76.17,3.30,3.47,49150.66,53828.03,54.074693,56.953876,54.118637,56.995342,12.449086,12.445691,10.21,10.59,13.99,14.54
65,100,80,64.63,63.19,3.33,3.80,55957.09,60346.90,52.285290,54.262070,52.324998,54.308582,14.322285,14.243452,10.40,9.74,14.76,13.90
65,100,100,84.67,89.93,3.03,3.22,61085.69,63970.97,46.505116,50.162745,46.531818,50.185313,12.504630,12.446769,11.66,10.59,16.52,15.32
65,100,100,99.41,82.10,2.91,3.42,61938.91,67740.85,42.646030,48.253360,42.685183,48.285590,13.202782,13.203404,12.43,11.82,18.25,17.01
65,100,100,91.27,82.72,3.42,3.14,61384.00,58668.02,50.248363,52.365397,50.277824,52.411578,10.647715,10.644908,12.39,12.33,17.13,16.64
65,100,100,84.19,92.57,2.91,3.19,61714.24,65773.22,49.365494,45.457451,49.400077,45.493909,13.281587,13.223832,12.01,11.52,16.40,16.54
65,100,100,93.90,68.35,3.26,3.09,62119.92,64754.59,44.608405,46.601259,44.647958,46.647945,12.683034,12.666831,14.69,13.89,19.47,18.54
65,100,100,71.76,68.28,2.92,3.63,68937.73,71721.82,47.488062,44.593449,47.523556,44.632434,14.053747,14.005286,13.41,11.97,18.24,18.17
65,100,100,80.77,73.64,3.13,3.41,67361.67,65798.62,42.657122,48.455350,42.699390,48.483205,13.206220,13.217275,11.22,10.83,16.98,16.22
65,100,100,70.34,79.43,2.99,3.31,64749.37,64394.32,47.638634,44.661907,47.674845,44.686139,12.207093,12.159718,13.45,12.33,18.34,18.31
65,100,100,79.73,71.24,3.05,3.13,63902.04,64524.01,51.484390,48.260914,51.521790,48.291770,12.461266,12.588679,12.42,13.94,16.89,18.13
65,100,100,77.50,84.56,3.64,3.40,61335.03,62735.10,48.571660,53.116559,48.591226,53.142912,12.558857,12.562056,13.75,12.48,18.71,17.69
